B,G,R,Target
252,135,0,Biru
252,135,0,Biru
250,137,0,Biru
255,134,0,Biru
255,133,0,Biru
255,133,0,Biru
255,135,0,Biru
255,135,0,Biru
251,137,0,Biru
253,136,0,Biru
251,137,0,Biru
251,135,0,Biru
251,135,0,Biru
252,135,0,Biru
251,136,0,Biru
247,124,0,Biru
244,125,0,Biru
241,126,0,Biru
242,125,0,Biru
244,125,0,Biru
243,124,0,Biru
242,123,0,Biru
250,121,0,Biru
246,122,0,Biru
246,122,0,Biru
241,124,0,Biru
249,133,0,Biru
251,132,0,Biru
249,133,0,Biru
249,133,0,Biru
250,133,0,Biru
249,133,0,Biru
249,133,0,Biru
251,132,0,Biru
251,132,0,Biru
253,131,0,Biru
250,133,0,Biru
249,133,0,Biru
249,133,0,Biru
250,133,0,Biru
122,157,0,Hijau
127,154,0,Hijau
127,154,0,Hijau
126,156,0,Hijau
126,155,0,Hijau
126,155,0,Hijau
130,155,0,Hijau
143,156,0,Hijau
142,156,0,Hijau
142,156,0,Hijau
146,156,0,Hijau
148,156,0,Hijau
144,158,0,Hijau
147,157,0,Hijau
147,157,0,Hijau
146,158,0,Hijau
132,155,0,Hijau
134,147,0,Hijau
134,147,0,Hijau
133,153,0,Hijau
127,155,0,Hijau
131,158,0,Hijau
143,156,0,Hijau
143,156,0,Hijau
145,153,0,Hijau
144,156,0,Hijau
144,156,0,Hijau
146,156,0,Hijau
130,157,0,Hijau
141,154,0,Hijau
148,154,0,Hijau
148,154,0,Hijau
146,156,0,Hijau
145,156,0,Hijau
148,154,0,Hijau
152,155,0,Hijau
150,156,0,Hijau
151,157,0,Hijau
134,158,0,Hijau
134,158,0,Hijau
129,162,162,Kuning
135,162,159,Kuning
138,165,160,Kuning
127,167,157,Kuning
127,167,157,Kuning
136,165,160,Kuning
141,166,161,Kuning
141,166,161,Kuning
143,165,165,Kuning
136,165,161,Kuning
143,165,165,Kuning
143,165,165,Kuning
139,166,161,Kuning
137,165,165,Kuning
133,166,163,Kuning
133,166,163,Kuning
132,166,163,Kuning
137,169,164,Kuning
135,161,159,Kuning
135,161,159,Kuning
129,162,161,Kuning
129,162,161,Kuning
138,162,160,Kuning
135,162,162,Kuning
134,164,159,Kuning
121,164,163,Kuning
134,164,165,Kuning
137,164,159,Kuning
136,164,163,Kuning
132,165,161,Kuning
138,164,164,Kuning
138,164,164,Kuning
139,164,162,Kuning
136,164,165,Kuning
133,164,166,Kuning
133,164,166,Kuning
127,164,168,Kuning
137,164,165,Kuning
138,165,161,Kuning
136,165,159,Kuning
58,64,244,Merah
58,64,244,Merah
66,62,243,Merah
65,62,247,Merah
65,62,247,Merah
54,61,242,Merah
53,62,250,Merah
53,60,237,Merah
61,59,241,Merah
61,59,241,Merah
68,59,249,Merah
54,67,243,Merah
69,67,255,Merah
60,71,250,Merah
65,70,253,Merah
66,71,250,Merah
64,69,255,Merah
57,69,255,Merah
64,70,255,Merah
64,70,255,Merah
68,71,255,Merah
65,70,255,Merah
71,70,255,Merah
63,72,253,Merah
68,71,255,Merah
55,73,251,Merah
63,71,255,Merah
66,73,255,Merah
66,73,255,Merah
67,71,253,Merah
61,71,252,Merah
61,71,252,Merah
63,72,255,Merah
63,74,255,Merah
63,74,255,Merah
62,74,255,Merah
59,76,251,Merah
59,76,251,Merah
66,74,255,Merah
